label,g_center,e_center,g_sigma,e_sigma,distance,pooled_sigma,amplitude_snr,rotation_deg,path
TWPA off (no pump),-0.2814518737143088,0.00776087546818499,0.649072930748076,0.663756312783632,0.2892127491824938,0.6564556771747881,0.44056706223821396,-100.78429786756261,D:\Labber_Data\Jay\purcell_tmon\withTWPA\2026\08\Data_0807\s000_singleshot_ge_Q3_nopump_20260807T020848038143Z-63AJXQPTTTD7K.hdf5
TWPA on,-2.9293089832447587,0.10198632359470328,0.8608696955459999,0.8278707598049749,3.031295306839462,0.8445314167186231,3.5893221339442656,-77.08919585979997,D:\Labber_Data\Jay\purcell_tmon\withTWPA\2026\08\Data_0807\s000_singleshot_ge_Q3_20260807T020742125175Z-BYPSZN3X1GH43.hdf5
