label,g_center,e_center,g_sigma,e_sigma,distance,pooled_sigma,amplitude_snr,rotation_deg,path
TWPA off (no pump),0.8329944879939778,1.0682049773513391,0.4846619530484933,0.4997881310824826,0.23521048935736133,0.4922831424615821,0.47779513265725365,79.02909185043124,D:\Labber_Data\Jay\purcell_tmon\withTWPA\2026\08\Data_0807\s000_singleshot_ge_Q1_nopump_20260807T015709765200Z-8CPM1YPC15DT9.hdf5
TWPA on,7.206809252977824,9.428015803812897,0.6906737984940527,0.8656768381886238,2.221206550835073,0.7830793970289527,2.8365023511823395,105.70008579472236,D:\Labber_Data\Jay\purcell_tmon\withTWPA\2026\08\Data_0807\s000_singleshot_ge_Q1_20260807T012628261453Z-CRWX6JW1D2SF6.hdf5
